',Tweet,Polaridade,Localizacao
LucasAlvinegro,RT @folha: Cabo Daciolo carrega cadeirante que não conseguia subir na sua seção https://t.co/IJwY8TxABX #Eleições2018 https://t.co/2B4osORN…,Positivo,"Rio de Janeiro, Brasil"
arcella1717,RT @Djeison_Moreira: @jairbolsonaro arrebentando aqui #Eleições2018 #17Neles #EleicoesJP2018 https://t.co/W6pdgqUZKq,Positivo,SC  BRASIL 
_marcelasss,FALTAM 20 MINUTOS #EleSim #BolsonaroPresidente17 #Eleições2018,Positivo,"Minas Gerais, betim"
jubacrowhill,Deu ruim @Corinthians! #Eleições2018 #EleSim #Brasilacimadetudo,Positivo,"Seinäjoki, Suomi"
RodineyDeSouza,"Bora para o 2° turno mais forte. 
#Bolsonaro #bolsonaro2018 #Bolsonaro17 #Eleições2018 #EleSim17 https://t.co/RaBSb9vvEW",Positivo,Jardim Laguna - Contagem
carol31926745,Vai Bolsonaro!!! #elesim 🇧🇷 #Eleições2018,Positivo,"Poços de Caldas, Brasil"
valerianeves66,"RT @DonaVida_: O Brasil é Bolsonaro!
O Brasil quer Bolsonaro!
Bolsonaro Presidente do Brasil! #EleSim

#FraudeNasUrnas
#Eleições2018
#Elecc…",Positivo,BRASÍLIA - DF
cantarelatte,"Parece que o Bolsonaro e o Lul.. ops Haddad estão no 2°turno. 
#Bolsonaro #B17 #elesim #eleições2018",Positivo,
ruth_elesim17,"RT @politicaagora1: Vamos continuar?

DESAFIO

RUMO A 6K SEGUIDORES
#DireitaSegueDireita #DireitaUnida
SE VOCE COLABORAR TODOS CRESCEM

Me…",Positivo,Toronto-Canada
FernandeesGaabi,"Bolsonaro Presidente , SIM.

#VotoConsciente #EleSim #Eleições2018 #B17",Positivo,21
iizabelaassis1,"Vamos subir a Hashtag #AcordaNordeste #EleSim
#17Neles 
#Eleições2018 
#jairmessiasbolsonaro17 
#AcordaNordeste É… https://t.co/Q9AtmI8Fzk",Positivo,"Bahia, Brasil"
natty_trv,"Brasileira e gaúcha com orgulho❣
#EleSim 🇧🇷👐🏻",Positivo,
arroba_ty,Eu indo votar e encontro na rua eleitores com camisas do 1+7 #eleicao2018  #elenão #ciro12 #cirosim,Negativo,"Teresina, Brasil"
millafreguglia,#elesim #EleSimENo1Turno #eleicao2018  É hoje! https://t.co/HcBVHcRJgE,Positivo,"Minas Gerais, Brasil"
winstonndl,"RT @hayssa_m: É hoje, é hoje o dia em que vamos mudar o futuro do nosso país! Brasil acima de tudo, Deus acima de todos!!! #b17 #elesim #17…",Positivo,"Fortaleza, Brasil"
Iguanapp1,#17Neles #EuVotoBolsonaro #EleSimENo1oTurno #b17 #eleicao2018 SAIBAM O QUE VOCÊS ESTÃO FAZENDO! AMAMOS O BRASIL E P… https://t.co/cmi15JqaXg,Positivo,
TADA56,"Estou tremendo aqui 

#EuVotoBolsonaro #PTnão #eleicao2018 #EleSimENo1oTurno #Bolsonaro17 @BolsonaroSP… https://t.co/09OZNgklxZ",Positivo,
leandrovoz,"GENTE
VOTEM LOGO NO BOLSONARO

SE ELE VENCER HOJE, JÁ ACABA LOGO E N TEM 2º TURNO

AÍ A GENTE NEM PRECISA SAIR DE C… https://t.co/DYaZ05fQfU",Positivo,São Paulo - BRASIL
naldomg76,Indo votar com a Bíblia na mão e o líquido ungido na outra! #eleicao2018 #CaboDaciolo https://t.co/SVQLpwwlxJ,Positivo,"Florianópolis, Brasil"
PriBotovi,"Não sei que tanta mudança é essa que os eleitores de bolsonaro acreditam que vai acontecer.
De um cara que não sabe… https://t.co/7AxGJrLdyE",Negativo,"Campo Grande, Brasil"
NaldoTC,"RT @RaianyMirelly: Pesquisa Rápida:
Em quem vocês votariam para ser presidente ?

#EuVotoBolsonaro
#ViraViraClR0
#eleicao2018
#EleiçõesRBS2…",Neutro,"São Paulo, Brasil"
edu1russo,RT @123russo_edu: Hj é dia de mudança #17neles #eleicao2018 #b17,Positivo,
biacatarin,"Chegou o dia, votem consciente ❤️
#ViraViraCiro12  #ViraViraClR0 #ViraViraClRO #Ciro12  #eleicao2018 #CiroSim… https://t.co/RXWdOjxlWB",Positivo,"Poços de Caldas, Brasil"
FernandaMixalhs,Na hora de votar vai se bege afff mas o vermelho está dentro dela #eleicao2018 #bolsonaro #EleSimENo1Turno https://t.co/DlanLzYC60,Positivo,greece
Biel_dlafer,"#eleicao2018  
Bora lá Bolsonaro 
#EleSim  VOTA 12",Positivo,No Seu Coração BB
Eloisa77089175,"Se é necessário fraudar é porque já sabe quem vai ganhar

#EleSim #Bolsonaro17 #Bolsonaro #EleicoesRBS2018… https://t.co/9X3KUm4Za2",Positivo,"Brasília, Brasil"
Nandosilva10,Partiu votação!!! Bolsonaro 17 #EleSim #elesimbolsonaro17 #EleSimENo1oTurno #eleicao2018 https://t.co/ZaFl7SanZO,Positivo,Rio de Janeiro
caca_camilota,"Onde nos fomos parar, hein. Já posso dizer que a culpa não é minha, não votei no coiso?! Tempos sombrios #Eleições2018 #EleNão",Negativo,"Minas Gerais, Brasil"
coisasqsoviemvc,"eu queria que tudo isso fosse um pesadelo ou a realidade invertida de stranger things 
não consigo acreditar 
#Eleições2018 #EleNão",Negativo,"São Paulo, Brasil"
nana_mendes,"Minha mãe resumindo nossa situação
#EleNão 
#Eleições2018 https://t.co/HHeEbn1eW7",Negativo,"São Paulo, Brasil"
JoaoFiguer,"A Bahia, estado-mãe do Brasil, tentando salvar seu filho das profundezas do inferno! #Elenão #Eleições2018 https://t.co/axc0d91ko5",Negativo,"Salvador, Bahia"
_jujulina,"RT @sabrinanaquino: Esse é o Brasil que eu quero.

#EleNão #Eleições2018 https://t.co/bJfaqlmiso",Negativo,Montevideo 
geovanimarques7,"Partiu nordeste ! 
Amo o nordeste vcs são foda!!
#ViraViraClR0 #Eleições2018 #ELENÃO https://t.co/bct3R7xYvy",Negativo,Macapá-Ap
eitaapreta,"RT @ericaAbreeuu: Gente ,votem com consciência por favor 😓🙌
#EleNão #EleNunca #EleJamais #Eleições2018",Negativo,Campo grande 
mochimonbebe,RT @beyapoc: Eu apagando minha árvore genealógica após ver os parentes que votaram no Bozo #EleNão #ViraViraClR0 #Eleições2018 https://t.co…,Negativo,"São Paulo, Brasil"
Amandaparacy,O que está acontecendo é que vamos ter que engolir o Bolso. #Eleições2018 #elenão,Negativo,Pelotas - Rio Grande do Sul
nana_mendes,"O povo sofrido salva
#EleNão 
#Eleições2018",Negativo,"São Paulo, Brasil"
Ziiago17,RT @dconline: Resultado: Jair Bolsonaro (PSL) e Fernando Haddad (PT) irão disputar segundo turno https://t.co/AsTXxUEHll #Eleições2018 #Ele…,Neutro,"Florianópolis, Brasil"
CamilaNaiara18,"Vai ter segundo turno graças ao NORDESTE! Vamos salvar esse país, porra!!! #EuAcredito ! #EleNão",Negativo,Salvador - Bahia - Brasil
micabrera11,"Obrigada, nordeste. Obrigada, Bahia, o estado mais preto do Brasil sabe na pele o que é sentir medo.

#Eleições2018 #EleNão #NotHim #ElNo",Negativo,
oDiegoReis,"Seis ficam falando do Daciolo aí... Quero ver ele daqui há 4 anos.

O coiso começou da mesma forma.

#Eleições2018 #EleNão",Negativo,
buca_camara,"Em um país que mais mata LGBT, por mais triste que seja, não é de surpreender esse resultado... #Eleições2018 #EleNão",Negativo,"Rio de Janeiro, RJ"
EuSouEu12414935,"Opinião eu respeito, fascismo a gente combate!
#EleNão #elenunca #Eleições2018",Negativo,"Centro, Rio de Janeiro"
AnittaReina35,RT @CentralAnittaFm: Anitters se preparem porque ja estão atacando a Anitta. #Eleições2018 #EleNão,Negativo,
dudeoll,"Depois apago esse tt KKKKKKKKK 
#Eleições2018  #ViraViraClR0  #EleNão  #FraudeNasUrnasEletronicas  #G1  #17Neles… https://t.co/deuxB2ySvc",Neutro,"Rio de Janeiro, VR."
Suzyy_op,"Nordeste EU TE AMOOO! ❤
#Eleições2018 #EleNão",Negativo,Ouro Preto - MG
nabrunaleve,"RT @guii_mont: MEU DEUS VCS FALANDO QUE NO SEGUNDO TURNO PREFEREM VOTAR EM BRANCO,DO QUE NO COISO OU NO HADDAD... VCS SÃO BURROS? OLHA A %…",Negativo,
bragagabrie0,"O medo não pode nos parar , a luta só começou! #EleNão #Eleições2018",Negativo,"Crato, Brasil"
MatheusHensel,"RT @onicolasaraujo: Já vou preparar meu look pra ditadura 
#EleNão #Eleições2018 https://t.co/IxUXCrdaG7",Negativo,Rio de Janeiro 🌴
mreginna_,"A luta ainda não acabou! 
#Eleições2018 #EleNão",Negativo,
anarezende1288,"tô com um nojo daqueles que diziam ser minha família votarem num cara que odeia minha existência 😑
#elenão #elenunca #Eleições2018",Negativo,Abreus 
annagabixx,Nordestão salvou essa eleição. Amo gente sensata. #EleNão #Eleições2018,Negativo,"São Paulo, Brasil"
manzidelrey,"Bolsolixo disse que o dia 28 é praia! Pelo visto, não vai ter praia! 😂😂😂😂 #Eleições2018 #EleNão https://t.co/saOpqbp7mx",Negativo,
Luci380,"Vou entrar em coma induzido só volto a acordar em 2022
É o jeito já que não dá para ir pro Canadá com 15 reais #elenão #Eleições2018",Negativo,
oxethale,É disso que eu tenho falado!!! Eleições não devem ser baseada nos partidos #EleNão #Eleições2018… https://t.co/28gSAMwO7y,Negativo,71
gabrielisoarez,"O nível de desespero que o Brasileiro chegou KKKKKKKKKKKKKKKK
TO RINDO MAS É DE DESESPERO #FICATEMER #Eleições2018 
#EleNão",Negativo,
itsNary_98,"Se nao fosse o Nordeste aquela criatura q nao se deve dizer o nome ja estaria eleito
Que orgulho 👏👏👏
#Eleições2018 
#ELENÃO",Negativo,
wesley_braga_,Tendi misericórdia de nós Cnhor #elenão #elenunca  #Eleições2018 https://t.co/rMDc12tZiq,Negativo,"Salvador, Bahia, Brasil"
ptqp_princesa,"RT @eucleitonjose: Pohha cara na próxima faz o serviço bem feito 😂😂😂
#Eleições2018 
#ELENÃO 
#ELENUNCA 🇧🇷 https://t.co/nbOEsOoErL",Negativo,Na casa do caralho
pollyannaalves_,Para meu consolo... #Eleições2018 #EleNão #EleNunca,Negativo,Belo Horizonte - MG
Crisash2,"RT @Wellandraa: Se ele for eleito, você vai ter culpa em cada gota de sangue derramada depois. 
Em 
Cada
Gota
De
Sangue
#ELENÃO #Eleições20…",Negativo,
fuckmermaid_,"O povo nordestino é julgado como o ""mais burro"".
Pelo visto, é o mais inteligente.
#Eleições2018 #EleNão",Negativo,putaquepariulândia
TimeHaddad13,"O Bozo está caindo a cada atualização, eu acredito meu Deus! #EleNão #Eleições2018",Negativo,"São Paulo, Brasil"
ElberthNasc90,"Pra cada ponto percentual que o Bolsolixo cai, é uma fada da esperança que renasce 💘 #ELENÃO #Eleições2018 #HaddadPresidente",Negativo,"Manaus, Brasil"
Oitsilvax,"É segundo turnoooooo pegaaaarrr 🙏❤

#TodosContraBolsonaro #HaddadPresidente #Haddad13 #BolsonaroNaCadeia #Eleições2018 #EleNão",Positivo,
karina_vais,"Ah gente eu sou de SC e tô com vergonha do meu estado maior votação pro Bozo do Brasil!!!
#ELENÃO #Eleições2018 
#Haddadpresidente13",Negativo,Brasil
JuniorDanyllo,Bolsonaro tomou o chá de Marina e caiu de 49% para 46%. BORA NOS UNIR NO 2° TURNO #Eleições2018  #EleNão https://t.co/YpurSUsX4R,Negativo,"Natal, Brasil"
_gomeskarine,EU SOU HADDAD ATÉ A MORTE!!!! VAMOSSSSS #ELENÃO,Positivo,"Santa Catarina, Brasil"
telleragnar,"RT @RainhaCarminha: Votei no Ciro e não me arrependo, estou com a consciência tranquila de que fiz a coisa certa e não fui compatível com o…",Positivo,
EuSouEu12414935,"Gente educada não precisa andar armada!✊🏼 
#EleNão  #elenunca #Eleições2018",Negativo,"Centro, Rio de Janeiro"
rafamlbarros,"RT @mreginna_: A luta ainda não acabou! 
#Eleições2018 #EleNão",Negativo,
AntroReality,Amo meu bairro todos estão nas janelas dos prédios gritando #elenão Santa Cecília meu orgulho de bairro #sampa é vi… https://t.co/Ys7E66ZOzX,Negativo,Em algum Lugar...do Mundo
ZackHarmon_,"Só vem Haddad, fé que ele ganha. É 13 hein galera!
#SegundoTurno 
#Eleições2018 
#EleNão",Positivo,"Macaé, Brasil"
zaynereyez,"Cheguei a conclusão de que existe o burro ,o Brasileiro e o nordestino. ..porque sinceramente hooo #Eleições2018 #EleNão",Negativo,...
Annelisie_tejo,"Quero as revelações do #meubolsomionsecreto na minha mesa, e em toda a internet, já!! #EleNão #Eleições2018 #ViraViraClR0 #BocaDeUrna",Negativo,Brasil
Amandaparacy,Boatos que Beto Falcão gritou #EleNão num show e geral apoiou ele.  #Eleições2018,Negativo,Pelotas - Rio Grande do Sul
falecommagal,"No segundo turno, mais Haddad e menos Lula. Ou isso ou o facismo...
#Eleições2018 
#Haddad13Presidente 
#EleNão",Positivo,"Teresina, Brazil"
_ChicoBuarque,Eu tô pronto pro segundo turno. Não vamos abaixar a cabeça! #EleNão #Eleições2018 https://t.co/o5Up8KsUA5,Negativo,Maceió
hannamariinho,"Agora né mesmo sem gostar da ideia vamos la, votar no Haddad...
#ViraViraClR0 #EleNão #Eleições2018",Positivo,Terra do Nunca
fernandassiz,"Obrigada Deus vai rolar #segundoturno SIM. Vamos a favor da democracia, vamos de voto consciente #Eleições2018 #EleNão #EleNunca #EleJamais",Negativo,"São Paulo, Brasil"
Viekenback,Não vai ser assim tão fácil seus Porras!!! #Eleições2018 #EleNão #EleNaoEleNunca,Negativo,"São Paulo, Brasil"
MoniQuitaa,"A culpa não é minha. Eu votei no @cirogomes! 

#ViraViraClR0 #Eleições2018 #EleNão #EleNunca #FicaTemer",Positivo,"Portão, Brasil"
carolvholland,"agora fala que tua mãe foi uma fraquejada, pq foi ela que te colocou no mundo, SEU BABACA! 
#EleNão #Eleições2018",Negativo,Wakanda
ssilvajpaulo,"Chega sempre a hora em que não basta apenas protestar a ação é indispensável.

#elenão #eleições2018… https://t.co/N5LL5vqmDy",Negativo,"Barretos, São Paulo"
CiliaCL29,#Eleições2018 #elenão Eu se nesse segundo turno der BOLSONARO https://t.co/GhAX6uBgKC,Negativo,
becamartins,a luta continua!!! 👊🏻💪🏻 #EleNão #Eleições2018,Negativo, Fortaleza - Ce - Brasil
NoS2DaSoph,"Ceará bem sensato, nem em segundo o Bozo Apareceu ❤️ #Eleições2018 #EleNão  #Eleicoes2018 #EleNao #Nordeste #Ceara https://t.co/ubMyVx9Pqn",Negativo,¤¤Fortaleza-ce¤¤
natannakel,"""O BIZARRO DE OURO""
#Eleições2018 #elenão https://t.co/6moESGyA7r",Negativo,
vifragosoo,"Se fere nossa existência, seremos a resistência. #EleNão #Eleições2018",Negativo,Brazil 
fabepx,"Obrigado a todo povo do Norte, vcs estão salvando o País! #eleições2018 #EleNão",Negativo,
wendell_leite,"Quem tá se preparando pra ditadura?
@pecesiqueira #Eleições2018 #EleNão",Negativo,"São Joaquim da Barra, Brasil"
JailmaBarros1,Rumo ao segundo turno ai meu Deus nos proteja.. #elenão #Eleições2018,Negativo,"Pernambuco, Brasil"
dudinhaofc_,É isso que vocês quer para o Brasil ? #Eleições2018 #EleNão https://t.co/Y610MDqBhw,Negativo,nopauzete 🎒
sitedammit,Guia para convencer seu amigo que votar em Bolsonaro é péssima ideia https://t.co/2IQOI1xUj7 via @vicebrasil #Eleições2018 #EleNão,Negativo,| MTV Brasil
AtrizEmCena,"Já votei consciente. Quero Ciro Presidente. 
@cirogomes #Ciro #Eleições2018 #elenão #VotoConsciente #Votociro #EleNunca #EleJamais",Positivo,"Ala, ala, ala, ALAGOAS"
alexiacastro046,"RT @gama_diezon: Gente, isso é muito desespero, sério. #ELENÃO  #Eleições2018  #ViraViraClR0 https://t.co/Pp6lSSKbmB",Negativo,Feira de santana
Fabiohexen,"Águas vão rolar, prelúdio de lágrimas para qualquer lado...
#Tenso #Eleições2018 #EleNão",Negativo,Rio Branco
N_nascimentoo1,RT @beyapoc: Eu apagando minha árvore genealógica após ver os parentes que votaram no Bozo #EleNão #ViraViraClR0 #Eleições2018 https://t.co…,Negativo,
mandajob,"Bem plena indo votar contra o fascismo...

#Eleições2018 
#elenão https://t.co/dU2NUePs4f",Negativo,Porto Alegre/RS
luanscamartins,"Chocado com os resultados de Boca de Urna. 
Ainda há esperança! 

#EleNão #Eleições2018",Negativo,"São Paulo, Brasil"
BelladeAndrade,"Coração foi de vermelho, voto foi pelo equilíbrio. Que venha o segundo turno! #Eleições2018 #EleNão",Negativo,"Brasília, Brasil"
nevessvick,O medo do bozo ganhar em primeiro dps dessas pesquisas tá grandeeee!!! FUDEUUUUUU #Eleições2018 #ViraViraCIR0 #elenão #12neles,Negativo,"Salvador, Brasil"
eternizarr,RT @milamione: Nervosa é pouco. Nunca fiquei assim numa eleição. #ViraViraClR0 #EleNão #Eleições2018 https://t.co/y67hiZ9VTX,Negativo,"Fortaleza, Ce"
_Nalaura27,"RT @robeertz1: OLHA QUE ABSURDO!
Aí a pessoa é contra a corrupção e comete um crime eleitoral na eleição. 

#ViraViraClR0 #EleNão #Eleições…",Negativo,CASA DO CARALHO
andrea_iopolo,RT @lucastine: A tranquilidade e compromisso com nosso País. #EleNão #eleições2018 https://t.co/p0RIYW6WIb https://t.co/gFzf8J4fns,Negativo,
RachelLamas3,"@cirogomes Apostando tudo em vc! #Ciro12 #Cirosim #12neles #ViraViraClR0 #Eleições2018 
#EleNão #EleNunca  #Paz",Positivo,
marvelsztark,RT @beyapoc: Eu apagando minha árvore genealógica após ver os parentes que votaram no Bozo #EleNão #ViraViraClR0 #Eleições2018 https://t.co…,Negativo,
MedeirosIris1,"Aviso especial pra quem vota #EleSim #Bolsonaro17
Se já começam errado assim, imagina daqui pra frente. #EleNão… https://t.co/oc0RjH17nh",Negativo,
Dafnealves6,"O medo tomou conta de mim! 
#Eleições2018 #EleNão",Negativo,"Campo Grande, Santos"
lovatosovereign,"Eu tô só o Harry Potter:
Bolsonaro não
Bolsonaro não 
Bolsonaro não 
Bolsonaro não 
#Eleições2018 #EleNão",Negativo,
hemmigsbitch8,RT @pecesiqueira: Ces tão elegendo nazistas https://t.co/hiDnJbQ6ZC,Negativo,na sua
O_queIR,"Eu dando minha opinião sobre alguém antes de ser capturada pelos militares 

#ViraViraClR0 
#EleNão 
#Eleições2018 https://t.co/KPfAqVX7OX",Negativo,Brazel
_Gleici,Ensinando desde cedo o que é democracia. Jamais vão votar em fascistas. #EleNão #Eleições2018 https://t.co/rAiRO9dgMN,Negativo,Várzea Grande/Cuiabá/Brasil
AlexandreBonine,"Pessoal, alguém sabe quando sai a caravana dos refugiados para o Uruguai? #Eleições2018 #elenunca #EleNão",Negativo,
WerneckRicci,"RT @sabrinanaquino: Esse é o Brasil que eu quero.

#EleNão #Eleições2018 https://t.co/bJfaqlmiso",Negativo,"Rio de Janeiro, Brasil"
manoteucu,RT @Looeesh: Exemplo do amor cristão dos eleitores de Bolsonaro #EleNaoEleNunca #ELENÃO #ViraViraClR0 #Eleições2018 https://t.co/JBmMpzSSKA,Negativo,No coração do Enzo
CVPlonka,Nunca fiquei tão apreensivo numa eleição como estou nessa! #Eleições2018 #EleNão,Negativo,
LanyGummer,"É vergonhoso viver em um país tão hipócrita.  

Precisamos sim de mudança. 
#EleNão irá resolver nada com seu discu… https://t.co/QFLchTwXop",Negativo,
danymendest,"Com o cu na mão esse momento e a desgraça desse app não atualiza pra presidente aaaaaa

#ViraViraCIR0 #Eleições2018 #ciro12 #CiroSim #EleNão",Negativo,
hssaeae,RT @HennebertHannah: Pela educação #elenão #EleNunca #Eleições2018,Negativo,
GuiBarchik,"#Eleições2018 Governo-PR | 81% Apurado

60% Ratinho Jr.
15% Cida Borghetti
13% João Arruda
8% Dr. Rosinha",Neutro,
csa2604,"RT @dudumartinsbsb: Toda vez que algum eleitor do #bozo #elenão ameaçar vc ou cometer qq crime eleitoral aqui ou em qq lugar, GRAVE, TIRE P…",Negativo,
JM_Rodriguess,RT @The_Ranger4: O Nordeste chegando pra salvar as eleições MAIS UMA VEZ !!! #ViraViraClR0 #Eleições2018 #EleNão https://t.co/tb0Hjgn2Zz,Negativo,
rql______,Obrigada aí galera do nordeste vocês são foda demaaaaais #Eleições2018 #EleNão https://t.co/2NlQpskfYY,Negativo,
ju_ribeiro89,É preocupante! Que o nordeste nos salve! #Eleições2018 #ViraViraClR0  #elenão,Negativo,Rio de Janeiro
Haiyssa,"Num tô preparada pra ditadura, no primeiro choque entrego todo mundo #EleNão #Eleições2018",Negativo,"Bells Hells, Pará, Brazil"
_bittersweet18,RT @beyapoc: Eu apagando minha árvore genealógica após ver os parentes que votaram no Bozo #EleNão #ViraViraClR0 #Eleições2018 https://t.co…,Negativo,
vinidevinicius,É AMIGOS FORÇA NO HADDAD 2° TURNO #ELENÃO #ELEJAMAIS #Eleições2018,Positivo,ssa/ba - sp/sp
ClaroNih,"CADEEEEEE MEU @CIROGOMES NO SEGUNDO TURNO CARAIO????? 
Maaaaas, pela democracia eu nunca critiquei o PT
#Eleições2018 #ViraViraClR0 #EleNão",Positivo,Rio de Janeiro/RJ - Ladário/MS
grazirduart,RT @gabfbarros: TENHO MUITO ORGULHO DE SER NORDESTINA #ELENÃO #ELENUNCA #eleições2018 https://t.co/q7W8ISktxw,Negativo,"Recife, PE"
taeminsdick_,"RT @Antonio_rsj: O plano A não deu certo, então...
Não voto em fascista! #ELENUNCA #ELENÃO #FicaTemer #Eleições2018 https://t.co/HtLz9ZtqDk",Negativo,lago de chernobyl
grettyskl,"Obrigada, mais una vez, Norte/Nordeste! #Eleiçoes2018 #HaddadPresidente #EleNão #EleNunca",Negativo,
softpdybala,"RT @Wellandraa: Se ele for eleito, você vai ter culpa em cada gota de sangue derramada depois. 
Em 
Cada
Gota
De
Sangue
#ELENÃO #Eleições20…",Negativo,errexota
CarlosMarioMe,"RT @TSEjusbr: #ResultadoTSE nas #Eleições2018 
Apuração para Presidente às 21h15:
Bolsonaro, 46,5%; Haddad, 28,5%; Ciro, 12,5%; Alckmin, 4,…",Neutro,Pinotepa Nacional Oaxaca
808astroblack,RT @jc_pe: #EleiçõesSJCC #Eleições2018 Haddad quer unir democratas e debater 'olho no olho' no 2º turno https://t.co/5HqcvhJXeH https://t.c…,Neutro,"Recife, Brasil"
Guilhermee281,"RT @g1: Bolsonaro vence em 17 estados e Haddad, em 9; nas capitais, placar é 23 a 3 https://t.co/UGcnqR3GTM #Eleições2018 #G1 https://t.co/…",Neutro,Brazil
jessicamarquest,"Se Ciro disse, tá dito! #Haddad13 #ocoisonao #elenão",Positivo,Porto Alegre/ RS
portaldaband,"Onde Lula nasceu, Fernando Haddad bate fácil Bolsonaro #Eleições2018 https://t.co/EfvslGLHLN https://t.co/bw2tIl7mEL",Positivo,Brasil
Waldelice13,Orgulho de ser nordestina!#HaddadPresidente,Positivo,"São Luís, Brasil"
Italo_fisico,"E o jogo vai virar pela honra e glória do Senhor. O amor irá vencer o ódio.
#haddad13 #HaddadPresidente… https://t.co/n9OfwdqpSA",Positivo,"Brasil, Natal - RN"
KaylaneEmanuel4,RT @mermaidevee: agora eu sou petista desde que nasci #Eleições2018 #SegundoTurno  #HaddadPresidente https://t.co/y5e1Z1hr5q,Positivo,
nadinefreire1,"Recomeçando os trabalhos
#EleNão #EleNunca #HaddadPresidente #Haddad13 #Eleições2018 https://t.co/ZqtwrDGZFl",Positivo,
justdrink,@bchartsnet AGORA TEMOS QUE CHUTAR ESSE VERME DA PRESIDÊNCIA! VEM HADDAD #Eleições2018 #HaddadPresidente #Haddad13 #elenão,Positivo,"Rio de Janeiro, Brasil"
ElmCarvalho,"A luta continua!
2° turno o Nordeste vai pra cima 
#Eleições2018 #EleNão #HaddadPresidente @costa_rui meu governador",Positivo,"Salvador, Brasil"
SandraLuciaMode,Não vai ser fácil o segundo turno. É uma porcentagem muito grande. Cansei de ser otimista. Mas sigo na luta #Eleições2018 #HaddadPresidente,Positivo,"Ituiutaba, Brasil"
margoth007,"RT @juliofen: Boa noite na vigília, para o Barba
 Guerreiro do povo brasileiro
#LulaLivre
#Eleições2018 
#HaddadPresidente 
#VotePorLulaVot…",Positivo,
queenofpoc,"Pessoal é agr ou só daqui 4 anos.
#Haddad13 
#HaddadPresidente 
#Eleições2018 
Diga não ao preconceito",Positivo,Ponta Grossa
MarcianoBrito13,RT @cjsbeirao: Bolsominio constrangendo uma cidadã de exercer seu direito de expressão. #Eleições2018 #VotePorLulaVote13 #HaddadPresidente1…,Negativo,Brasil
pauroig5,RT @pauroig5: 🇧🇷 (‼️) 👉 Bolsonaro será o próximo presidente do #Brasil 🇧🇷❓#Eleições2018 #BrasilDecide #EuVotoBolsonaro17 #HaddadPresidente,Positivo,Catalunya - Món
valeriafontoura,"@Estadao Atá , então as Urnas só terão validade se o Bozo ganhar?! affff #HaddadPresidente13 #Eleições2018",Negativo,Niterói - RJ 
LucivanHipolito,"O NE é meu país. Chama o Lula pra ser nosso presidente com Ciro de vice. #Eleições2018 #HaddadPresidente 
#Ciro12",Positivo,
f1_daniela,"Viva aos #bolsominions !!!

Depois a culpa é do #Nordeste .
#Eleições2018 #HaddadPresidente",Negativo,BRAZIL
fabioribeirocg,A luta continua companheiro #haddad13 #haddadpresidente #haddadélula #haddademanu #nordesteéHaddad #PT… https://t.co/kKzw0cw48G,Positivo,Campina Grande-Paraíba
khaleesidrew,estou com dor no corpo de tanto medo do facista meu deus do céu #HaddadPresidente #Eleições2018 #PrayForBrazil,Negativo,Vila Sônia 
Waldelice13,Orgulho de ser nordestina!#HaddadPresidente,Positivo,"São Luís, Brasil"
Italo_fisico,"E o jogo vai virar pela honra e glória do Senhor. O amor irá vencer o ódio.
#haddad13 #HaddadPresidente… https://t.co/n9OfwdqpSA",Positivo,"Brasil, Natal - RN"
KaylaneEmanuel4,RT @mermaidevee: agora eu sou petista desde que nasci #Eleições2018 #SegundoTurno  #HaddadPresidente https://t.co/y5e1Z1hr5q,Positivo,
justdrink,@bchartsnet AGORA TEMOS QUE CHUTAR ESSE VERME DA PRESIDÊNCIA! VEM HADDAD #Eleições2018 #HaddadPresidente #Haddad13 #elenão,Positivo,
bisnetoferrer,Um homem sábio e sensato! #Eleições2018 #HaddadPresidente https://t.co/4pJazhLXVs,Positivo,"Teresina, Brasil"
tatianesantos,Vamos a #Luta pq ainda resta #esperanca #HaddadPresidente #Haddad13 #AgoraÉHaddad #Eleições2018 #LulaManuHaddad,Positivo,São Paulo - SP / Itajubá - MG
lucasdancerofc,RT @Lilu_Alves: @Haddad_Fernando Conte comigo. O amor vencerá o ódio. #HaddadPresidente #eleições2018,Positivo,"Salvador, Brasil"
LayCosta95,"ENTÃO GALERA

JA TÁ TUDO CERTO PRA VOTAR NO 13 NÉ ?

#Eleições2018 #HaddadPresidente",Positivo,
htgetrebecca,"APERTEI 13 E CONFIRMEI!!!!! SENTI O PODER DA DEMOCRACIA NA MINHA MAO
#VotePorLulaVote13 
#HaddadPresidente 
#ManuNoJaburu 
#eleicao2018",Positivo,BUBBLINE IS REAL
Livio_elias,"Bora votar, para tomar nosso Brasil de volta! #eleicao2018 #HaddadPresidente",Positivo,Belo Horizonte
ParaibanadaGioA,RT @mermaidevee: agora eu sou petista desde que nasci #Eleições2018 #SegundoTurno  #HaddadPresidente https://t.co/y5e1Z1hr5q,Positivo,"Rio de Janeiro, Brasil"
si1mara,"Galera do Ciro, Marina, Daciolo... É hora de nos unirmos! O ódio não pode vencer! #Eleições2018 #HaddadPresidente",Positivo,"Cascavel, Brasil"
igorcardoso76,"Votem 13 
#HaddadPresidente 
#Eleições2018 
#ViraViraClR0",Positivo,"Distrito Federal, Brasil"
livlopes89,"Muito obrigada, Nordeste lindo #Eleições2018 #HaddadPresidente #Haddad13 #EleNão #ELENUNCA",Positivo,"São Paulo, Brasil"
